run_order,run_name,reason,learning_rate,width,dropout,image_width,image_height,batch_size,augmentation_train_only,epochs_trained,best_epoch,stopped_early,validation_accuracy,validation_macro_f1,training_seconds,inference_seconds,inference_ms_per_image,model_size_bytes,parameter_count,mlflow_run_id,mlflow_artifact_uri
1,Reference small CNN,Reference architecture and learning rate for the controlled comparison.,0.001,16,0.25,112,48,64,True,15,14,False,0.835,0.8330775632635403,157.39948160003405,1.2604633000446483,2.1007721667410806,255505,60901,b92dcc5071b54adc9ae72d499f79dced,mlruns/4/b92dcc5071b54adc9ae72d499f79dced/artifacts
2,Lower learning rate,Changes only the learning rate to test slower optimization.,0.0003,16,0.25,112,48,64,True,15,13,False,0.7616666666666667,0.7575970168430907,155.92979919991922,1.1663228999823332,1.9438714999705553,255505,60901,7d8870cecae346e39703e1dfb7feaa6c,mlruns/4/7d8870cecae346e39703e1dfb7feaa6c/artifacts
3,Wider convolution filters,Changes only the filter width to test a slightly larger feature extractor.,0.001,24,0.25,112,48,64,True,13,9,True,0.775,0.757870963580714,198.24754900007974,1.581297800061293,2.6354963334354884,557521,136277,4906f9dd531748d2b101af76823f9af9,mlruns/4/4906f9dd531748d2b101af76823f9af9/artifacts
