run_order,run,epoch,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1
1,Reference small CNN,1,1.460392476717631,0.3675,0.34992398454146245,1.685098450978597,0.22,0.10379882729028837
1,Reference small CNN,2,1.2422047249476116,0.48333333333333334,0.4690996906689445,1.6746926911671955,0.37833333333333335,0.31207369865906454
1,Reference small CNN,3,1.112492963473002,0.5383333333333333,0.5282846598510947,0.9598688220977784,0.6416666666666667,0.6419630161275587
1,Reference small CNN,4,1.0101521015167236,0.58,0.5683547728599587,1.1292470105489094,0.5083333333333333,0.47219242858720156
1,Reference small CNN,5,0.962379568417867,0.6079166666666667,0.5955165202107233,0.892089573542277,0.625,0.6253422749328598
1,Reference small CNN,6,0.9218879954020183,0.6254166666666666,0.6179862196552965,0.840306928952535,0.645,0.6302494619236969
1,Reference small CNN,7,0.8618666466077168,0.6541666666666667,0.6476166565545804,0.7651618806521098,0.6533333333333333,0.6463717080736169
1,Reference small CNN,8,0.8602195525169373,0.6575,0.6526549439996379,0.941905677318573,0.6083333333333333,0.5903502605489755
1,Reference small CNN,9,0.8938318649927776,0.63625,0.6329884585699114,0.7425582802295685,0.7383333333333333,0.7337096426655583
1,Reference small CNN,10,0.7733905585606893,0.6933333333333334,0.6882792704020559,0.6836271621783574,0.7266666666666667,0.6620599790297718
1,Reference small CNN,11,0.7691148559252421,0.6891666666666667,0.685672189754621,0.710164802869161,0.7066666666666667,0.6936046142038562
1,Reference small CNN,12,0.7143278090159099,0.7295833333333334,0.7278717992855821,0.7876385609308879,0.67,0.6809600114668505
1,Reference small CNN,13,0.6967997670173645,0.7316666666666667,0.7287530668388917,0.6284163852532705,0.7716666666666666,0.7748177049933995
1,Reference small CNN,14,0.6732397294044494,0.7391666666666666,0.7376102480429995,0.48438710629940035,0.835,0.8330775632635403
1,Reference small CNN,15,0.6205377070109049,0.7633333333333333,0.761314604797377,0.964475367863973,0.71,0.703179021122412
2,Lower learning rate,1,1.5260806941986085,0.3145833333333333,0.2925276303719658,1.5598524395624798,0.23666666666666666,0.1301558403987457
2,Lower learning rate,2,1.3974310843149822,0.3975,0.37516499463872366,1.2932207981745403,0.5266666666666666,0.5053340333000955
2,Lower learning rate,3,1.2942654784520466,0.47291666666666665,0.4575091717634209,1.1091367022196452,0.615,0.6062085413362434
2,Lower learning rate,4,1.1926815684636434,0.51875,0.5105600773574273,1.0737084261576335,0.5433333333333333,0.4856756791814454
2,Lower learning rate,5,1.1353696171442669,0.5579166666666666,0.5442682644857504,0.9752877529462178,0.6183333333333333,0.6137429631501166
2,Lower learning rate,6,1.0836396249135336,0.5629166666666666,0.5555629441979432,0.9220860679944356,0.6883333333333334,0.6922507102031766
2,Lower learning rate,7,1.0281783278783163,0.6079166666666667,0.6004980620695328,0.879737495581309,0.655,0.6398482836167855
2,Lower learning rate,8,1.0178523540496827,0.6070833333333333,0.6001019225223303,0.8730388069152832,0.6583333333333333,0.6668701789154726
2,Lower learning rate,9,0.98760826587677,0.60625,0.5998161576873589,0.864648605187734,0.71,0.7152488294783238
2,Lower learning rate,10,0.9593567864100139,0.6208333333333333,0.6134764173166225,0.769964382648468,0.74,0.7352162039521428
2,Lower learning rate,11,0.9238321963946025,0.63625,0.629863190334555,0.7654289277394613,0.7083333333333334,0.7045106925365889
2,Lower learning rate,12,0.896750872929891,0.6566666666666666,0.6485533605835678,0.7855228281021118,0.71,0.7161021690271737
2,Lower learning rate,13,0.8735997454325358,0.6658333333333334,0.6585856704282281,0.6686693374315897,0.7616666666666667,0.7575970168430907
2,Lower learning rate,14,0.850577737490336,0.6675,0.6610999569538921,0.7510620911916097,0.695,0.6624636566886909
2,Lower learning rate,15,0.8383369859059652,0.6729166666666667,0.6660539562054553,0.7818133012453715,0.7416666666666667,0.7427655157426736
3,Wider convolution filters,1,1.4365462493896484,0.35375,0.33648611794857275,1.3664278713862101,0.39,0.31387896459929426
3,Wider convolution filters,2,1.19711438814799,0.49291666666666667,0.47520268963513856,1.070236524740855,0.5433333333333333,0.5188536714926226
3,Wider convolution filters,3,1.0647576268513996,0.5579166666666666,0.5462087443153576,0.8807832678159078,0.5916666666666667,0.5780684115826207
3,Wider convolution filters,4,0.9705562575658162,0.59625,0.5885393987026966,1.5264142028490701,0.49333333333333335,0.49196425417136175
3,Wider convolution filters,5,0.9095490328470865,0.6308333333333334,0.6185363196422058,0.7921622172991435,0.635,0.6048688009880256
3,Wider convolution filters,6,0.8858414602279663,0.6341666666666667,0.6304386458421067,0.9748647419611612,0.5716666666666667,0.5666927823503842
3,Wider convolution filters,7,0.8397018114725748,0.6704166666666667,0.6653367779657707,0.7939255968729655,0.6783333333333333,0.6670682800176306
3,Wider convolution filters,8,0.8131862211227417,0.6729166666666667,0.6688170532322029,0.7952808133761088,0.745,0.7442628635239915
3,Wider convolution filters,9,0.7936991691589356,0.68,0.6772729599937117,0.551648899714152,0.775,0.757870963580714
3,Wider convolution filters,10,0.7291212662061055,0.7179166666666666,0.7143885073997575,0.7107754755020141,0.685,0.623503323588986
3,Wider convolution filters,11,0.6872154013315837,0.7329166666666667,0.7315378894613584,0.7439492495854696,0.7,0.696650729419792
3,Wider convolution filters,12,0.65147270043691,0.7458333333333333,0.7443845377897065,1.4208576822280883,0.5516666666666666,0.553176413460847
3,Wider convolution filters,13,0.6631327406565348,0.7329166666666667,0.730596966219383,0.5968901669979095,0.7483333333333333,0.7386924337510042
