epoch,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1
1,1.4247361597333636,0.3841428571428571,0.3729072845084352,1.7077818603515624,0.3426666666666667,0.3004589698737449
2,1.1557903547968182,0.5474285714285714,0.5390057894866842,1.5509413197835287,0.3913333333333333,0.37819075512715966
3,1.0208914263589042,0.6189285714285714,0.6147888660721448,1.1591262222925822,0.5663333333333334,0.5530468440259576
4,0.8849694603511266,0.6807857142857143,0.6777937225100705,1.3360172690153123,0.558,0.5006664649587143
5,0.7923532024792262,0.7211428571428572,0.7186808457905659,1.6632099760373433,0.4693333333333333,0.4579099182905016
6,0.7300903912271772,0.7415714285714285,0.7381233649641409,1.4260075892607371,0.5146666666666667,0.4702016663233642
7,0.6775830072334834,0.7620714285714286,0.7595579120122465,0.990945563117663,0.6543333333333333,0.6476268576194512
8,0.6386876867839268,0.7719285714285714,0.7689201084493126,1.1863633607228596,0.6226666666666667,0.6183080011735691
9,0.6017155588013785,0.7892857142857143,0.7869486371807151,0.8399439880053202,0.739,0.7373537118416633
10,0.5638667443139213,0.8035714285714286,0.8010185799006229,0.8262179815769195,0.735,0.7226489003992466
11,0.5432295780181885,0.8067857142857143,0.8043645460578883,1.3591953150431315,0.5966666666666667,0.5903200188828048
12,0.5271100475788116,0.8150714285714286,0.8130503805208231,0.8464828694661458,0.717,0.7232879610761375
13,0.5135984185763768,0.8207857142857143,0.8190391504137384,1.0112448789278665,0.7163333333333334,0.7118466446978795
14,0.4903641672815595,0.8274285714285714,0.8254686863807281,0.7331556455294291,0.78,0.7752433451211113
15,0.4616100580692291,0.8396428571428571,0.8379477012686614,0.782558612982432,0.78,0.7802981660285873
16,0.45747709114210944,0.8403571428571428,0.8387627594928372,1.044211954752604,0.675,0.6792195328927331
17,0.4374334293093,0.8441428571428572,0.8426878279682504,1.3575833749771118,0.6096666666666667,0.6095196652745364
18,0.4376037118434906,0.8450714285714286,0.8438545991724995,1.3542317447761694,0.6526666666666666,0.6435964570261888
19,0.4325106161321913,0.8509285714285715,0.8496397681622729,0.8005783464113871,0.7716666666666666,0.7680674440460228
20,0.4063355177470616,0.8564285714285714,0.8552180212251095,0.6971530671914419,0.7973333333333333,0.7958228907353944
21,0.38289819611821857,0.8656428571428572,0.8646204674944862,1.0548321475982667,0.7266666666666667,0.730265289212413
22,0.37518679101126534,0.8693571428571428,0.8682919543951311,2.082026541352272,0.59,0.5595370051366005
23,0.3853475799901145,0.8664285714285714,0.865532737497405,0.7850581833918889,0.746,0.7485858186034038
24,0.37019621516977036,0.8679285714285714,0.8669291552281331,1.266214953402678,0.6963333333333334,0.6948404656583735
25,0.3735896588734218,0.8670714285714286,0.8663713933957192,1.0615507333278655,0.7153333333333334,0.7156155877055299
