run_order,run,epoch,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1
3,Wider convolution filters,1,1.4365462493896484,0.35375,0.33648611794857275,1.3664278713862101,0.39,0.31387896459929426
3,Wider convolution filters,2,1.19711438814799,0.49291666666666667,0.47520268963513856,1.070236524740855,0.5433333333333333,0.5188536714926226
3,Wider convolution filters,3,1.0647576268513996,0.5579166666666666,0.5462087443153576,0.8807832678159078,0.5916666666666667,0.5780684115826207
3,Wider convolution filters,4,0.9705562575658162,0.59625,0.5885393987026966,1.5264142028490701,0.49333333333333335,0.49196425417136175
3,Wider convolution filters,5,0.9095490328470865,0.6308333333333334,0.6185363196422058,0.7921622172991435,0.635,0.6048688009880256
3,Wider convolution filters,6,0.8858414602279663,0.6341666666666667,0.6304386458421067,0.9748647419611612,0.5716666666666667,0.5666927823503842
3,Wider convolution filters,7,0.8397018114725748,0.6704166666666667,0.6653367779657707,0.7939255968729655,0.6783333333333333,0.6670682800176306
3,Wider convolution filters,8,0.8131862211227417,0.6729166666666667,0.6688170532322029,0.7952808133761088,0.745,0.7442628635239915
3,Wider convolution filters,9,0.7936991691589356,0.68,0.6772729599937117,0.551648899714152,0.775,0.757870963580714
3,Wider convolution filters,10,0.7291212662061055,0.7179166666666666,0.7143885073997575,0.7107754755020141,0.685,0.623503323588986
3,Wider convolution filters,11,0.6872154013315837,0.7329166666666667,0.7315378894613584,0.7439492495854696,0.7,0.696650729419792
3,Wider convolution filters,12,0.65147270043691,0.7458333333333333,0.7443845377897065,1.4208576822280883,0.5516666666666666,0.553176413460847
3,Wider convolution filters,13,0.6631327406565348,0.7329166666666667,0.730596966219383,0.5968901669979095,0.7483333333333333,0.7386924337510042
