run_order,run,epoch,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1
2,Lower learning rate,1,1.5260806941986085,0.3145833333333333,0.2925276303719658,1.5598524395624798,0.23666666666666666,0.1301558403987457
2,Lower learning rate,2,1.3974310843149822,0.3975,0.37516499463872366,1.2932207981745403,0.5266666666666666,0.5053340333000955
2,Lower learning rate,3,1.2942654784520466,0.47291666666666665,0.4575091717634209,1.1091367022196452,0.615,0.6062085413362434
2,Lower learning rate,4,1.1926815684636434,0.51875,0.5105600773574273,1.0737084261576335,0.5433333333333333,0.4856756791814454
2,Lower learning rate,5,1.1353696171442669,0.5579166666666666,0.5442682644857504,0.9752877529462178,0.6183333333333333,0.6137429631501166
2,Lower learning rate,6,1.0836396249135336,0.5629166666666666,0.5555629441979432,0.9220860679944356,0.6883333333333334,0.6922507102031766
2,Lower learning rate,7,1.0281783278783163,0.6079166666666667,0.6004980620695328,0.879737495581309,0.655,0.6398482836167855
2,Lower learning rate,8,1.0178523540496827,0.6070833333333333,0.6001019225223303,0.8730388069152832,0.6583333333333333,0.6668701789154726
2,Lower learning rate,9,0.98760826587677,0.60625,0.5998161576873589,0.864648605187734,0.71,0.7152488294783238
2,Lower learning rate,10,0.9593567864100139,0.6208333333333333,0.6134764173166225,0.769964382648468,0.74,0.7352162039521428
2,Lower learning rate,11,0.9238321963946025,0.63625,0.629863190334555,0.7654289277394613,0.7083333333333334,0.7045106925365889
2,Lower learning rate,12,0.896750872929891,0.6566666666666666,0.6485533605835678,0.7855228281021118,0.71,0.7161021690271737
2,Lower learning rate,13,0.8735997454325358,0.6658333333333334,0.6585856704282281,0.6686693374315897,0.7616666666666667,0.7575970168430907
2,Lower learning rate,14,0.850577737490336,0.6675,0.6610999569538921,0.7510620911916097,0.695,0.6624636566886909
2,Lower learning rate,15,0.8383369859059652,0.6729166666666667,0.6660539562054553,0.7818133012453715,0.7416666666666667,0.7427655157426736
