left_image,right_image,hamming_distance,same_family,same_split,same_text
data/v2/processed/fontsense_v2/images/train/serif/BatangChe/BatangChe_0034.png,data/v2/processed/fontsense_v2/images/train/serif/Noto_Serif_Ahom/Noto_Serif_Ahom_0003.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/BatangChe/BatangChe_0034.png,data/v2/processed/fontsense_v2/images/train/serif/Noto_Serif_Ahom/Noto_Serif_Ahom_0013.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/BatangChe/BatangChe_0041.png,data/v2/processed/fontsense_v2/images/train/serif/BatangChe/BatangChe_0075.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/BatangChe/BatangChe_0042.png,data/v2/processed/fontsense_v2/images/train/serif/Libre_Caslon_Text/Libre_Caslon_Text_0047.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/BatangChe/BatangChe_0067.png,data/v2/processed/fontsense_v2/images/train/serif/BatangChe/BatangChe_0094.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/BatangChe/BatangChe_0068.png,data/v2/processed/fontsense_v2/images/train/serif/IM_Fell_Great_Primer/IM_Fell_Great_Primer_0076.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/BatangChe/BatangChe_0072.png,data/v2/processed/fontsense_v2/images/train/serif/Quattrocento/Quattrocento_0088.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/BatangChe/BatangChe_0078.png,data/v2/processed/fontsense_v2/images/train/serif/Noto_Serif_Ahom/Noto_Serif_Ahom_0049.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/BatangChe/BatangChe_0078.png,data/v2/processed/fontsense_v2/images/train/serif/Noto_Serif_Ahom/Noto_Serif_Ahom_0059.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/BatangChe/BatangChe_0082.png,data/v2/processed/fontsense_v2/images/train/serif/Rokkitt/Rokkitt_0071.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/Domine/Domine_0016.png,data/v2/processed/fontsense_v2/images/train/serif/Sanchez/Sanchez_0018.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/Domine/Domine_0019.png,data/v2/processed/fontsense_v2/images/train/serif/Sanchez/Sanchez_0031.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/Domine/Domine_0019.png,data/v2/processed/fontsense_v2/images/train/serif/IM_Fell_Great_Primer/IM_Fell_Great_Primer_0072.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/Domine/Domine_0043.png,data/v2/processed/fontsense_v2/images/train/serif/Quattrocento/Quattrocento_0076.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/Domine/Domine_0043.png,data/v2/processed/fontsense_v2/images/train/serif/Noto_Serif_Ahom/Noto_Serif_Ahom_0039.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/Domine/Domine_0043.png,data/v2/processed/fontsense_v2/images/train/serif/Noto_Serif_Ahom/Noto_Serif_Ahom_0059.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/Domine/Domine_0052.png,data/v2/processed/fontsense_v2/images/train/serif/BatangChe/BatangChe_0011.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/Domine/Domine_0053.png,data/v2/processed/fontsense_v2/images/train/serif/BatangChe/BatangChe_0078.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/Domine/Domine_0053.png,data/v2/processed/fontsense_v2/images/train/serif/Sanchez/Sanchez_0001.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/Domine/Domine_0053.png,data/v2/processed/fontsense_v2/images/train/serif/IM_Fell_Great_Primer/IM_Fell_Great_Primer_0032.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/Domine/Domine_0060.png,data/v2/processed/fontsense_v2/images/train/serif/Rokkitt/Rokkitt_0000.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/IM_Fell_Great_Primer/IM_Fell_Great_Primer_0009.png,data/v2/processed/fontsense_v2/images/train/serif/Noto_Serif_Ahom/Noto_Serif_Ahom_0013.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/IM_Fell_Great_Primer/IM_Fell_Great_Primer_0012.png,data/v2/processed/fontsense_v2/images/train/serif/IM_Fell_Great_Primer/IM_Fell_Great_Primer_0039.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/IM_Fell_Great_Primer/IM_Fell_Great_Primer_0012.png,data/v2/processed/fontsense_v2/images/train/serif/IM_Fell_Great_Primer/IM_Fell_Great_Primer_0090.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/IM_Fell_Great_Primer/IM_Fell_Great_Primer_0052.png,data/v2/processed/fontsense_v2/images/train/serif/IM_Fell_Great_Primer/IM_Fell_Great_Primer_0087.png,1,True,True,False
