epoch,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1
1,1.4159083678381783,0.39635714285714285,0.37932720034351763,1.7466993891398113,0.384,0.3053743123314802
2,1.1092456708635603,0.5802857142857143,0.5730417847928762,1.2904664529164631,0.49333333333333335,0.4775168025292019
3,0.961944155556815,0.6460714285714285,0.6416187315765413,0.9129800769488017,0.6773333333333333,0.6789683146205963
4,0.8471400647844587,0.6985,0.6946124723672514,1.7134416313171388,0.39866666666666667,0.345212414309503
5,0.7881364284924098,0.7149285714285715,0.7115157097693762,1.7421698689460754,0.458,0.4381221909192966
6,0.7402601694379534,0.7357857142857143,0.7319894842014609,1.1553339635531108,0.594,0.5695003380539723
7,0.6830126794406346,0.7571428571428571,0.7539925090793379,1.2770148834784825,0.5456666666666666,0.5142411347660089
8,0.6642580663817269,0.7605,0.757046954400127,1.0288598308563233,0.661,0.6572569743262472
