epoch,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1
1,1.378879783494132,0.4167142857142857,0.4014903554579349,1.6616944602330526,0.36133333333333334,0.3283278963449755
2,1.1091353843552725,0.5723571428571429,0.5661537213210444,1.2320800898869833,0.5013333333333333,0.49752829116558656
3,0.9344840428488596,0.6615,0.6577466104135145,1.9400121809840203,0.43733333333333335,0.36872741866391845
4,0.8116375124795097,0.7097857142857142,0.7059089152807884,1.0106067485014598,0.645,0.6255126952313926
5,0.738490678514753,0.7388571428571429,0.7361744705531998,1.7741981930732726,0.514,0.45684627659951077
6,0.6794765854563032,0.7555714285714286,0.7524652834627485,1.1013796170552572,0.5943333333333334,0.5924970835205139
7,0.620498433794294,0.7861428571428571,0.7839134951989678,1.1620743357340495,0.5366666666666666,0.5586943939522226
8,0.5853365676743644,0.7941428571428572,0.7916254663541669,0.7959390306472778,0.7473333333333333,0.7474067479178628
9,0.5430450581482479,0.8085714285714286,0.8065802571187197,0.7279539318084717,0.7406666666666667,0.7461081457033998
10,0.5096699522903987,0.8210714285714286,0.819073052847593,1.0901440185507139,0.6736666666666666,0.668719397118972
11,0.5015240719999586,0.8195714285714286,0.8176934598854508,1.598848554690679,0.6223333333333333,0.5844318334113194
12,0.4843913265977587,0.8292857142857143,0.827489314851969,1.208125113805135,0.656,0.6531169191834275
13,0.46036544629505705,0.8367142857142857,0.8351747719344111,0.8751998167037964,0.7646666666666667,0.7651982421694324
14,0.43646461166654316,0.8488571428571429,0.8473927553326084,1.2442731283505757,0.6886666666666666,0.6817734488584222
15,0.4288582229954856,0.8503571428571428,0.8490632548696453,1.1755947024027507,0.6653333333333333,0.6522752598793813
