,precision,recall,f1-score,support
display,0.2857142857142857,0.2,0.23529411764705882,40.0
handwriting,0.29411764705882354,0.25,0.2702702702702703,20.0
monospace,0.5,0.7,0.5833333333333334,20.0
sans_serif,0.45714285714285713,0.4,0.4266666666666667,40.0
serif,0.34375,0.55,0.4230769230769231,20.0
accuracy,0.38571428571428573,0.38571428571428573,0.38571428571428573,0.38571428571428573
macro avg,0.37614495798319325,0.41999999999999993,0.3877282621988505,140.0
weighted avg,0.37479741896758706,0.38571428571428573,0.3715145850439968,140.0
