,precision,recall,f1-score,support
display,0.2857142857142857,0.35,0.3146067415730337,40.0
handwriting,0.07692307692307693,0.1,0.08695652173913043,20.0
monospace,0.375,0.15,0.21428571428571427,20.0
sans_serif,0.36363636363636365,0.1,0.1568627450980392,40.0
serif,0.1956521739130435,0.45,0.2727272727272727,20.0
accuracy,0.22857142857142856,0.22857142857142856,0.22857142857142856,0.22857142857142856
macro avg,0.259385180037354,0.22999999999999998,0.2090877990846381,140.0
weighted avg,0.2780395070767741,0.22857142857142856,0.21670121172775186,140.0
