run,epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
cnn_small_lr1e-3,1,1.5988837718963622,0.278125,0.263051303254272,1.680940866470337,0.2857142857142857,0.08888888888888888
cnn_small_lr1e-3,2,1.497736883163452,0.359375,0.340647675620478,1.629333734512329,0.2642857142857143,0.1251217265429662
cnn_small_lr1e-3,3,1.4291487336158752,0.4125,0.3960868544499211,1.5882521470387776,0.2714285714285714,0.13296486379786815
cnn_small_lr1e-3,4,1.375951623916626,0.4578125,0.44401777072017756,1.5380491813023884,0.34285714285714286,0.23590490923629953
cnn_small_lr1e-3,5,1.2926575899124146,0.525,0.5074942293032921,1.5575683116912842,0.24285714285714285,0.163292589763178
cnn_small_lr1e-3,6,1.2423413753509522,0.5421875,0.5239484432613508,1.3972981770833333,0.20714285714285716,0.16961672473867595
cnn_small_lr1e-3,7,1.1751833438873291,0.5765625,0.5639683655145261,1.4753538568814595,0.20714285714285716,0.21639097744360902
cnn_small_lr1e-3,8,1.1439616322517394,0.6,0.5883842801675186,1.752906362215678,0.22857142857142856,0.159646622969507
cnn_small_lr3e-4,1,1.6271857500076294,0.2390625,0.21320595213375432,1.6187832355499268,0.2857142857142857,0.08888888888888888
cnn_small_lr3e-4,2,1.5642428159713746,0.3046875,0.2652617309499692,1.6811443169911702,0.29285714285714287,0.10806945863125639
cnn_small_lr3e-4,3,1.5127583384513854,0.3671875,0.3374481853944135,1.6144506533940632,0.2642857142857143,0.12533333333333335
cnn_small_lr3e-4,4,1.4731076598167419,0.3890625,0.3598151425762045,1.5370324850082397,0.2571428571428571,0.1464574824361451
cnn_small_lr3e-4,5,1.428436815738678,0.421875,0.40017398732473436,1.5321789582570393,0.3,0.2477592546181247
cnn_small_lr3e-4,6,1.3932571768760682,0.46875,0.44614708391546765,1.4697341918945312,0.2571428571428571,0.22020077278013278
cnn_small_lr3e-4,7,1.3499621391296386,0.490625,0.4763733729942697,1.4420857032140095,0.29285714285714287,0.30622309197651665
cnn_small_lr3e-4,8,1.3233540058135986,0.4828125,0.46435004524183754,1.472257415453593,0.3142857142857143,0.23024758290412936
